prestador,sede_nombre anterior,sede_nombre actual,email,direccion,telefono,naju_nombre,grse_nombre,Especialidades
Maxident Plus Clinicas Odontologicas Sas,20 DE JULIO,Maxident Plus Clínicas Odontológicas 20 de Julio,jennynovoabuitrago@hotmail.com,CARRERA 6 No 22A - 54 Sur,2 121600,Privada,Consulta Externa,311 -ENDODONCIA
Maxident Plus Clinicas Odontologicas Sas,20 DE JULIO,Maxident Plus Clínicas Odontológicas 20 de Julio,jennynovoabuitrago@hotmail.com,CARRERA 6 No 22A - 54 Sur,2 121600,Privada,Consulta Externa,338 -ORTODONCIA
Maxident Plus Clinicas Odontologicas Sas,20 DE JULIO,Maxident Plus Clínicas Odontológicas 20 de Julio,jennynovoabuitrago@hotmail.com,CARRERA 6 No 22A - 54 Sur,2 121600,Privada,Consulta Externa,343 -PERIODONCIA
Maxident Plus Clinicas Odontologicas Sas,20 DE JULIO,Maxident Plus Clínicas Odontológicas 20 de Julio,jennynovoabuitrago@hotmail.com,CARRERA 6 No 22A - 54 Sur,2 121600,Privada,Consulta Externa,347 -REHABILITACIÓN ORAL
Maxident Plus Clinicas Odontologicas Sas,20 DE JULIO,Maxident Plus Clínicas Odontológicas 20 de Julio,jennynovoabuitrago@hotmail.com,CARRERA 6 No 22A - 54 Sur,2 121600,Privada,Consulta Externa,356 -OTRAS CONSULTAS de ESPECIALIDAD - NO ONCOLÓGICO
Asociados Unidad Nacional Odontologica A Uno Ltda,A UNO DENTAL COLOR,A uno Dental color,aunoDentalcolor@hotmail.com,AC 53 # 59 03,2220297,Privada,Consulta Externa,311 -ENDODONCIA
Asociados Unidad Nacional Odontologica A Uno Ltda,A UNO DENTAL COLOR,A uno Dental color,aunoDentalcolor@hotmail.com,AC 53 # 59 03,2220297,Privada,Consulta Externa,338 -ORTODONCIA
Asociados Unidad Nacional Odontologica A Uno Ltda,A UNO DENTAL COLOR,A uno Dental color,aunoDentalcolor@hotmail.com,AC 53 # 59 03,2220297,Privada,Consulta Externa,343 -PERIODONCIA
Asociados Unidad Nacional Odontologica A Uno Ltda,A UNO DENTAL COLOR,A uno Dental color,aunoDentalcolor@hotmail.com,AC 53 # 59 03,2220297,Privada,Consulta Externa,411 -CIRUGÍA MAXILOFACIAL
A & B Ortodontic Sas,A&B ORTODONTIC,A&B Ortodontic,harrybb01@msn.com,CALLE 161 N. 16 A 26,6710711,Privada,Consulta Externa,311 -ENDODONCIA
A & B Ortodontic Sas,A&B ORTODONTIC,A&B Ortodontic,harrybb01@msn.com,CALLE 161 N. 16 A 26,6710711,Privada,Consulta Externa,338 -ORTODONCIA
A & B Ortodontic Sas,A&B ORTODONTIC,A&B Ortodontic,harrybb01@msn.com,CALLE 161 N. 16 A 26,6710711,Privada,Consulta Externa,343 -PERIODONCIA
A & B Ortodontic Sas,A&B ORTODONTIC,A&B Ortodontic,harrybb01@msn.com,CALLE 161 N. 16 A 26,6710711,Privada,Consulta Externa,347 -REHABILITACIÓN ORAL
A & B Ortodontic Sas,A&B ORTODONTIC,A&B Ortodontic,harrybb01@msn.com,CALLE 161 N. 16 A 26,6710711,Privada,Consulta Externa,356 -OTRAS CONSULTAS de ESPECIALIDAD - NO ONCOLÓGICO
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,308 -deRMATOLOGÍA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,311 -ENDODONCIA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,320 -GINECOBSTETRICIA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,329 -MEDICINA INTERNA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,338 -ORTODONCIA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,339 -ORTOPEDIA y/O TRAUMATOLOGÍA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,342 -PEDIATRÍA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,343 -PERIODONCIA
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,356 -OTRAS CONSULTAS de ESPECIALIDAD - NO ONCOLÓGICO
A&G SERVICIOS DE SALUD S.A.S,A&G SERVICIOS DE SALUD S.A.S,A&G Servicios de Salud ,aygniza@yahoo.com,AV 127 No 71-96,7455901-7455902-7455905,Privada,Consulta Externa,396 -ODONTOPEDIATRÍA
A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V Clínicas Odontológicas,adyvelandia@hotmail.com,Calle 44 No. 72B-38 sur,7283082 - 7282352,Privada,Consulta Externa,311 -ENDODONCIA
A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V Clínicas Odontológicas,adyvelandia@hotmail.com,Calle 44 No. 72B-38 sur,7283082 - 7282352,Privada,Consulta Externa,338 -ORTODONCIA
A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V Clínicas Odontológicas,adyvelandia@hotmail.com,Calle 44 No. 72B-38 sur,7283082 - 7282352,Privada,Consulta Externa,343 -PERIODONCIA
A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V ClÍNICAS ODONTOLÓGICAS SAS,A&V Clínicas Odontológicas,adyvelandia@hotmail.com,Calle 44 No. 72B-38 sur,7283082 - 7282352,Privada,Consulta Externa,356 -OTRAS CONSULTAS de ESPECIALIDAD - NO ONCOLÓGICO
ACOFOR LASER S.A.S,ACOFOR LASER S.A.S,Acofor Laser,acoforlaser2010@gmail.com,CALLE 119 Nº 7 - 14 CONS 414 - 415,6297355 - 6297352 - 2139287,Privada,Consulta Externa,308 -deRMATOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,101 -GENERAL ADULTOS
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,102 -GENERAL PEDIÁTRICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,105 -CUIDADO INTERMEDIO NEONATAL
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,107 -CUIDADO INTERMEDIO ADULTOS
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,108 -CUIDADO INTENSIVO NEONATAL
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,110 -CUIDADO INTENSIVO ADULTOS
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,112 -OBSTETRICIA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Internación,120 -CUIDADO BÁSICO NEONATAL
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,201 -CIRUGÍA de CABEZA y CUELLO
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,203 -CIRUGÍA GENERAL
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,204 -CIRUGÍA GINECOLÓGICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,205 -CIRUGÍA MAXILOFACIAL
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,206 -CIRUGÍA NEUROLÓGICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,207 -CIRUGÍA ORTOPÉDICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,209 -CIRUGÍA OTORRINOLARINGOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,212 -CIRUGÍA PEDIÁTRICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,213 -CIRUGÍA PLÁSTICA y ESTÉTICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,214 -CIRUGÍA VASCULAR y ANGIOLÓGICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,215 -CIRUGÍA UROLÓGICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,217 -OTRAS CIRUGÍAS - NO ONCOLÓGICO
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,231 -CIRUGÍA de LA MANO
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,234 -CIRUGÍA de TÓRAX
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Quirúrgicos,235 -CIRUGÍA GASTROINTESTINAL
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,301 -ANESTESIA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,302 -CARDIOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,304 -CIRUGÍA GENERAL
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,306 -CIRUGÍA PEDIÁTRICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,308 -deRMATOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,310 -ENDOCRINOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,316 -GASTROENTEROLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,317 -GENÉTICA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,318 -GERIATRÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,320 -GINECOBSTETRICIA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,321 -HEMATOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,323 -INFECTOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,327 -MEDICINA FÍSICA y REHABILITACIÓN
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,329 -MEDICINA INTERNA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,330 -NEFROLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,331 -NEUMOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,332 -NEUROLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,339 -ORTOPEDIA y/O TRAUMATOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,340 -OTORRINOLARINGOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,342 -PEDIATRÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,348 -REUMATOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,354 -TOXICOLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,355 -UROLOGÍA
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,356 -OTRAS CONSULTAS de ESPECIALIDAD - NO ONCOLÓGICO
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,362 -CIRUGÍA de CABEZA y CUELLO
ADMINISTRADORA CLINICA LA COLINA SAS,ADMINISTRADORA CLINICA LA COLINA SAS,Clínica La Colina,"zuley.diaz@Clínicalacolina.com, luz.cardenas@Clínicalacolina.com","CALLE 167 No 72-07 PISOS 1, 2, 3, 4A, 5, 6, 7 y 8",4897000 ext 6011 - 6010,Privada,Consulta Externa,363 -CIRUGÍA de MANO
